date_key,date ,year,month,day,week,quarter,day_in_week,month_name,day_name
359,12/25/2019,2019,12,25,52,4,4,December,Tuesday
360,12/26/2019,2019,12,26,52,4,5,December,Tuesday
361,12/27/2019,2019,12,27,52,4,6,December,Tuesday
362,12/28/2019,2019,12,28,52,4,7,December,Tuesday
363,12/29/2019,2019,12,29,53,4,1,December,Tuesday
364,12/30/2019,2019,12,30,53,4,2,December,Tuesday
365,12/31/2019,2019,12,31,53,4,3,December,Tuesday
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
